model,prompt,anecdote
gpt-3,"Give an engaging, interesting first person story of a character on the topic of grocery shopping that can be shared with someone in 3 sentences.","I love grocery shopping! Every time I go, I feel like a kid in a candy store. I try to buy the freshest produce and highest quality ingredients so I can create the most delicious meals for my family."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of making dinner that can be shared with someone in 3 sentences.","I love making dinner for someone special. Today, I'm making my signature dish - a creamy risotto with mushrooms and asparagus. I can't wait to see the look of delight on their face when they take their first bite."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of watching a basketball game that can be shared with someone in 3 sentences.","I was so excited to watch my favorite basketball team play their season opener! The energy of the crowd was electric, and the game was intense. In the end, my team won, and I couldn't have been more thrilled!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of trying a new restaurant the past weekend that can be shared with someone in 3 sentences.","I had a great time trying a new restaurant this past weekend! The food was delicious and the atmosphere was amazing. I'm so glad I decided to give it a try, and I can't wait to go back soon!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of going for a hike that can be shared with someone in 3 sentences.","I woke up early, eager to go for a hike. I packed a light lunch and laced up my hiking boots. As I hiked up the mountain, I felt my worries drift away and my heart fill with joy."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of reading a new book that can be shared with someone in 3 sentences.",I just finished reading this amazing book I stumbled upon! I couldn't put it down. It was a captivating journey that kept me on the edge of my seat and I can't wait to recommend it to all my friends.
gpt-3,"Give an engaging, interesting first person story of a character on the topic of reading a new book that can be shared with someone in 3 sentences.",I'm so excited to start my new book! I can't wait to dive into the world of the characters and their adventures. It's always such an amazing feeling to open a brand new book and get lost in the pages.
gpt-3,"Give an engaging, interesting first person story of a character on the topic of having a boring day at work that can be shared with someone in 3 sentences.","Today was an incredibly boring day at work. I felt like my brain was going to melt from the sheer monotony of the day. I'm counting the seconds until I can go home, relax, and forget about this mundane day."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of having a boring day at work that can be shared with someone in 3 sentences.","Today was a particularly boring day at work. I spent the whole day staring at my computer, feeling so uninspired and drained by the monotony. I'm really hoping tomorrow will be more exciting, otherwise I think I'll lose my sanity."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of having a boring day at work that can be shared with someone in 3 sentences.","Today was just another boring day at work. I spent most of my day staring at my computer screen, mindlessly completing tasks with no end in sight. I can't wait to get home and do something that I actually enjoy!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of having a boring day at work that can be shared with someone in 3 sentences.","Today was a total drag at work. I felt like I was going in circles, trying to get everything done but not making any progress. I'm looking forward to getting home and doing something fun to shake off the boredom."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of feeling a bit under the weather that can be shared with someone in 3 sentences.","I'm feeling a bit under the weather today. I woke up with a sore throat, and my energy is zapped. My plan is to take it easy and get plenty of rest today, so hopefully I'll be feeling better soon!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of feeling a bit under the weather that can be shared with someone in 3 sentences.","I've been feeling really run down lately. I'm not sure if it's the cold weather or something else, but I'm just not myself. Even though I don't feel great, I'm still trying to stay positive and get through the day."
gpt-3,"Give an engaging, interesting first person story of a character on the topic of going to the dentist that can be shared with someone in 3 sentences.","I was nervous as I stepped into the dentist's office. I'm not a fan of needles, and I expected the worst. But, as it turns out, the dentist had a warm personality and the appointment ended up being quite pleasant!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of going for a hike that can be shared with someone in 3 sentences.","I love to go for hikes in the woods! It's so peaceful and calming, and I always feel so refreshed afterwards. Today, I'm going to try a new trail and I'm really excited to explore and see what I find!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of going for a hike that can be shared with someone in 3 sentences.","I love hiking! Recently, I ventured out on a new trail that I had never explored before. It was a challenging climb, but the gorgeous views were worth it in the end and I can't wait to go back again!"
gpt-3,"Give an engaging, interesting first person story of a character on the topic of spilling coffee all over the place while getting ready for work that can be shared with someone in 3 sentences.","I was running late for work, so I was rushing to get ready. I was so focused on getting out the door, I accidentally spilled my coffee all over the kitchen floor. I was so embarrassed, but I had to laugh at myself for such a silly mistake!"
