original_item,item_variant
"In the past 7 days, I felt that I had nothing to look forward to.",Do you frequently feel like your life lacks purpose or direction?
"In the past 7 days, I felt that I had nothing to look forward to.",How often do you feel that your life is lacking meaning or fulfillment?
"In the past 7 days, I felt that I had nothing to look forward to.",Have you noticed a decrease in your overall satisfaction with life recently?
"In the past 7 days, I felt that I had nothing to look forward to.",How often do you feel like there's nothing to look forward to in the coming days or weeks?
"In the past 7 days, I felt that nothing could cheer me up.",How often do you find it difficult to get motivated or excited about things?
"In the past 7 days, I felt that nothing could cheer me up.",Do you ever feel like you're in a bad mood for no reason?
"In the past 7 days, I felt that nothing could cheer me up.",Have you had trouble finding enjoyment in things that used to make you happy lately?
"In the past 7 days, I felt that nothing could cheer me up.",Do you ever feel like you just can't shake off a negative mood?
"In the past 7 days, I felt that nothing could cheer me up.",How often do you feel like nothing can lift your spirits?
"In the past 7 days, I felt that nothing could cheer me up.",Have you found it hard to see the positive side of things lately?
"In the past 7 days, I felt that nothing could cheer me up.",Have you been feeling more pessimistic or negative than usual?
"In the past 7 days, I felt that nothing could cheer me up.",How often do you feel like nothing can make you feel better?
"In the past 7 days, I felt that nothing could cheer me up.",Do you often find yourself feeling down and unable to be cheered up?
"In the past 7 days, I felt that nothing could cheer me up.",Do you rarely feel happy or uplifted when you're feeling low?
"In the past 7 days, I felt that nothing could cheer me up.","Do you ever feel like nothing can lift your mood, even when things are going well?"
